id,start_time,end_time,length,removed_from_corpus,changed,new_name,new_start,new_end,Explanation,r1,a1,r2,a2,speaker_1,speaker_1_gender,speaker_1_role,speaker_2,speaker_2_gender,speaker_2_role,mean_score,Text,Dash
231_Breyer_Unikowsky_WAvCoug,2179.8,2182.4,2.6,,,,,,,0,32,0,61,Breyer,m,j,Unikowsky,m,a,0, I just -- what I just said. ,FALSE
102_Sotomayor_Hinkel_MitchellvWisconsin,1350.24,1352.84,2.6,,,,,,,28,32,63,68,Sotomayor,f,j,Hinkel,m,a,45.5, And don't you have an argument that the state can't extract a condition that's more invasive than reasonably necessary for its needs? ,FALSE
10_Sotomayor_Purcell_WAvCoug,90.84,93.44,2.6,,,,,,,50,49,50,74,Sotomayor,f,j,Purcell,m,a,50," So the question is, in my mind, whether the travel rights to freely use the highways permit you to tax them for an incidence carrying the fuel from another state on a highway through your state, correct? Now the court below called this an importation tax. ",FALSE
242_Breyer_Hinkel_MitchellvWisconsin,3648.08,3650.68,2.6,,,,,,,100,1,100,12,Breyer,m,j,Hinkel,m,a,100," No, no, you're right, not every case, but on many it'll be confusing and a few he'll say no, but 99 percent, sure. ",FALSE
142_Crouse_Kavanaugh_KahlervKansas,2465.6,2468.2,2.6,,,,,,,,,,,,,,,,,," Yeah, so -- so I -- I think the same historical analysis that we have undergone with regard to the insanity test is something that we would have to look at. ",FALSE
92_Breyer_Heytens_VAvGolden,2212.76,2215.4,2.64,,,,,,,0,35,20,49,Breyer,m,j,Heytens,f,a,10," But am I right in saying where the government is divided between the parties, then, in circumstances like this, nobody will challenge it? ",FALSE
136_Adams_Gorsuch_WAvCoug,1358.88,1361.52,2.64,,,,,,,18,48,0,54,Adams,f,a,Gorsuch,m,j,9, Without taxes imposed that were not applied to everybody else. ,FALSE
228_Hinkel_Kavanaugh_MitchellvWisconsin,3506.72,3509.36,2.64,,,,,,,26,14,20,26,Hinkel,m,a,Kavanaugh,m,j,23, Those are all textbook factors that would go toward the exigency analysis. ,FALSE
82_Gorsuch_Purcell_WAvCoug,919.76,922.4,2.64,,1,,,923.4,Clarify second speaker,85,36,32,52,Gorsuch,m,j,Purcell,m,a,58.5," Well, we -- counsel, we normally read a -- a -- a phrase to bear the same meaning in all of its applications. ",FALSE
60_Breyer_Hinkel_MitchellvWisconsin,885.64,888.28,2.64,,,,,,,100,38,59,68,Breyer,m,j,Hinkel,m,a,79.5," The intern or the emergency room says, we better take care of him. ",FALSE
205_Jurss_Ginsburg_MitchellvWisconsin,2993.88,2996.56,2.68,1,,,,,inaudible second speaker,,,,,,,,,,,," Well, even in Birchfield, this Court said that, where there's been no clarity from the founding, it looks to reasonableness, and -- this Court looks to reasonableness. ",FALSE
208_Schrup_Alito_KahlervKansas,3525.24,3527.96,2.72,,,,,,,10,9,14,53,Schrup,f,a,Alito,m,j,12," Thank you, Mr. Chief Justice. ",FALSE
76_Sotomayor_Ratner_VAvGolden,1848.36,1851.08,2.72,,,,,,,33,22,33,75,Sotomayor,f,j,Ratner,m,a,33," You know, this is being said in a very generalized way. ",FALSE
151_Elias_Kavanaugh_VAvGolden,3241.4,3244.12,2.72,,,,,,,45,27,50,7,Elias,f,a,Kavanaugh,m,j,47.5," No, Your Honor. ",FALSE
139_Sotomayor_Jurss_MitchellvWisconsin,1947.08,1949.8,2.72,,,,,,,67,35,96,61,Sotomayor,f,j,Jurss,f,a,81.5, Now the problem that I have with this implied consent is I take the road. ,FALSE
27_Sotomayor_Clement_VAvGolden,566.04,568.76,2.72,,,,,,,77,6,28,34,Sotomayor,f,j,Clement,f,a,52.5," Mr. Clement, that -- that's -- that's a pretty extreme statement on your part. ",FALSE
237_Breyer_Unikowsky_WAvCoug,2246.28,2249,2.72,,,,,,,94,34,100,67,Breyer,m,j,Unikowsky,m,a,97, All right. ,FALSE
127_Kagan_Jurss_MitchellvWisconsin,1750.44,1753.16,2.72,1,,,,,no turn change,,,,,,,,,,,," -- or you fall under one of the established, well-acknowledged, well-understood, historic exceptions to the warrant. ",FALSE
143_Sotomayor_Jurss_MitchellvWisconsin,1966.08,1968.8,2.72,,,,,,,,,,,,,,,,,," I'm guilty of violating the law if I drive intoxicated, whether with alcohol or drugs. ",FALSE
220_Breyer_Kagan_WAvCoug,2146.68,2149.44,2.76,,,,,,,0,12,17,49,Breyer,m,j,Kagan,f,j,8.5," No, what is the word of the statute? ",FALSE
238_Breyer_Hinkel_MitchellvWisconsin,3628.08,3630.84,2.76,,,,,,,13,23,35,49,Breyer,m,j,Hinkel,m,a,24," Unless you're into Birchfield, it's sort of good-bye. ",FALSE
227_Breyer_Unikowsky_WAvCoug,2173.32,2176.08,2.76,,,,,,,78,5,100,56,Breyer,m,j,Unikowsky,m,a,89, An importer of marijuana must pay a tax of 90 percent. ,FALSE
26_Sotomayor_Purcell_WAvCoug,214.72,217.48,2.76,,,,,,,88,11,31,16,Sotomayor,f,j,Purcell,m,a,59.5, At the market. ,FALSE
191_Breyer_Unikowsky_WAvCoug,2013.68,2016.44,2.76,,,,,,,100,12,100,56,Breyer,m,j,Unikowsky,m,a,100," The -- the thing I don't understand is that many states have laws against bringing in diseased apples,
all kinds of things. ",FALSE
111_Breyer_Adams_WAvCoug,1104.84,1107.6,2.76,1,,,,,duplicate of next turn,,,,,,,,,,,, There could? ,FALSE
34_Kagan_Purcell_WAvCoug,256.32,259.08,2.76,1,,,,,inaudible second speaker,,,,,,,,,,,," So you know one issue is does the right to travel include the right to travel with goods, and I'm going to ask you to just assume that it does. ",FALSE
311_Purcell_Sotomayor_WAvCoug,3432.28,3435.08,2.8,,,,,,,10,17,17,51,Purcell,m,a,Sotomayor,f,j,13.5," Thank you,
Mr. Chief Justice. I'd like to point out two crucial facts about what will happen if you accept Cougar Den's position. First to Justice Breyer's point, if you accept their position, Yakama members can transport goods nationwide without taxation or regulation. ",FALSE
97_Crouse_Sotomayor_KahlervKansas,1793,1795.8,2.8,,,,,,,30,4,32,64,Crouse,m,a,Sotomayor,f,j,31," So, as I -- I understand Petitioner's test, is they want to ask the question of whether or not the individual knows that it's either legally or morally right versus wrong. ",FALSE
233_Breyer_Unikowsky_WAvCoug,2182.4,2185.2,2.8,,,,,,,43,6,7,37,Breyer,m,j,Unikowsky,m,a,25, Is it legal or illegal? ,FALSE
93_Crouse_Sotomayor_KahlervKansas,1770.24,1773.04,2.8,,,,,,,50,4,22,53,Crouse,m,a,Sotomayor,f,j,36," Do you have criminal intent, that's right. ",FALSE
118_Hinkel_Roberts_MitchellvWisconsin,1550.56,1553.36,2.8,,,,,,,68,63,74,76,Hinkel,m,a,Roberts,m,j,71," -- draws the blood for medical reasons, I understand. If I may answer the question? The difference is that when the hospital is performing a blood draw on a person, it's for their benefit. ",FALSE
109_Breyer_Heytens_VAvGolden,2349.32,2352.16,2.84,,,,,,,0,6,10,11,Breyer,m,j,Heytens,f,a,5," I was looking for an answer, honestly. ",FALSE
284_Unikowsky_Kavanaugh_WAvCoug,2948.8,2951.64,2.84,,,,,,,23,20,41,25,Unikowsky,m,a,Kavanaugh,m,j,32," So,
of course,
I think it's the activity. ",FALSE
29_Purcell_Kagan_WAvCoug,238,240.84,2.84,,,,,,,50,48,50,34,Purcell,m,a,Kagan,f,j,50," Well, the point is, Your Honor, the treaty did not preserve everything exactly as it was in 1855. ",FALSE
218_Kagan_Unikowsky_WAvCoug,2143.84,2146.68,2.84,1,,,,,inaudible first spaker,,,,,,,,,,,, It's a movement. ,FALSE
115_Breyer_Hinkel_MitchellvWisconsin,1518.96,1521.84,2.88,,,,,,,53,50,50,75,Breyer,m,j,Hinkel,m,a,51.5," Yeah, if they take the test, if he goes to the hospital, so forth. ",FALSE
46_Breyer_Hinkel_MitchellvWisconsin,826.48,829.36,2.88,,,,,,,64,24,50,48,Breyer,m,j,Hinkel,m,a,57," No, no, don't say if. I just put the case because I want you to tell me what I'm supposed to do. ",FALSE
34_Breyer_Hinkel_MitchellvWisconsin,750.24,753.12,2.88,,,,,,,78,24,69,50,Breyer,m,j,Hinkel,m,a,73.5, Take him to the hospital. ,FALSE
38_Breyer_Hinkel_MitchellvWisconsin,788.64,791.52,2.88,,,,,,,84,34,80,39,Breyer,m,j,Hinkel,m,a,82," No, I didn't ask that question. ",FALSE
200_Prelogar_Sotomayor_KahlervKansas,3327.88,3330.76,2.88,1,,,,,inaudible second speaker,,,,,,,,,,,," So these are obviously difficult questions, Justice Breyer. ",FALSE
232_Alito_Schrup_KahlervKansas,3689.16,3692.04,2.88,,,,,,,,,,,,,,,,,, That you have to take into account that people -- that the 18th Century and early 19th Century understanding of how the human mind works was very different from what we have today. ,FALSE
85_Crouse_Sotomayor_KahlervKansas,1652.4,1655.32,2.92,,,,,,,37,64,27,69,Crouse,m,a,Sotomayor,f,j,32," Mr. Chief Justice, and may it please the Court: Petitioner asked this Court to define a rule of insanity and to require the states to implement that rule in its criminal justice proceedings. ",FALSE
150_Kagan_Elias_VAvGolden,3239.4,3242.32,2.92,,,,,,,38,36,77,67,Kagan,f,j,Elias,f,a,57.5, -- for the state to get over strict scrutiny. ,FALSE
114_Heytens_Alito_VAvGolden,2393.28,2396.24,2.96,,,,,,,7,15,44,22,Heytens,f,a,Alito,m,j,25.5, No. ,FALSE
213_Unikowsky_Kagan_WAvCoug,2138.56,2141.52,2.96,,,,,,,30,19,0,76,Unikowsky,m,a,Kagan,f,j,15," It doesn't use the word transport,
but the state court said it taxes transportation,
and the state court authoritatively construes state statutes. ",FALSE
120_Adams_Breyer_WAvCoug,1187.2,1190.16,2.96,,,,,,,58,22,100,73,Adams,f,a,Breyer,m,j,79, Excuse me? ,FALSE
28_Breyer_Hinkel_MitchellvWisconsin,723.12,726.08,2.96,,,,,,,67,0,76,18,Breyer,m,j,Hinkel,m,a,71.5," I'm saying taking your case, but all the officer knows is somebody's lying here unconscious. ",FALSE
204_Prelogar_Roberts_KahlervKansas,3358.76,3361.72,2.96,,,,,,,,,,,,,,,,,," May I answer, Mr. Chief Justice? ",FALSE
4_Sotomayor_Purcell_WAvCoug,48.64,51.6,2.96,1,,,,,indistinguishable speakers,,,,,,,,,,,, Could you tell me could you tax the tribe's buying of the fuel in another state? ,FALSE
132_Jurss_Kagan_MitchellvWisconsin,1794.48,1797.48,3,,,,,,,23,15,39,26,Jurss,f,a,Kagan,f,j,31," Yes, it's a special application of consent, but it still is consent. ",FALSE
173_Clement_Ginsburg_VAvGolden,3572.88,3575.88,3,,,,,,,32,12,28,14,Clement,f,a,Ginsburg,f,j,30, I -- I don't think it has anything -- this case has anything to do with whether the members are going to come here. ,FALSE
83_Hinkel_Roberts_MitchellvWisconsin,1211.52,1214.52,3,,,,,,,42,25,50,55,Hinkel,m,a,Roberts,m,j,46," Yes, there's something wrong with it, I mean, because, under Schneckloth, we analyze consent under the totality of the circumstances. ",FALSE
109_Roberts_Hinkel_MitchellvWisconsin,1391.28,1394.28,3,1,,,,,no turn change,,,,,,,,,,,," -- but I guess I would say in terms of the unconstitutional conditions thing, it's been pretty well established, I think uniformly, that driving on the roads is considered a privilege and not a right, to which certain conditions can -- can attach. ",FALSE
115_Crouse_Breyer_KahlervKansas,2249.92,2252.96,3.04,,,,,,,0,4,50,70,Crouse,m,a,Breyer,m,j,25, So -- and I apologize for not getting to the answer of your question. ,FALSE
200_Breyer_Unikowsky_WAvCoug,2085.96,2089,3.04,,,,,,,20,59,40,71,Breyer,m,j,Unikowsky,m,a,30, I didn't see that in your brief. ,FALSE
59_Ratner_Kagan_VAvGolden,1461.4,1464.44,3.04,1,,,,,inaudible second speaker,,,,,,,,,,,," You know, it's a little bit unusual given that this standing issue first arises with respect to this appeal. ",FALSE
78_Sotomayor_Ratner_VAvGolden,1856.04,1859.08,3.04,1,,,,,no turn change,,,,,,,,,,,," -- and with facts that they -- I shouldn't say he, it was a panel -- that they found convincing. ",FALSE
103_Kagan_Breyer_VAvGolden,2314.84,2317.92,3.08,,,,,,,0,43,32,50,Kagan,f,j,Breyer,m,j,16, Mr. Heytens -- (Laughter.) ,FALSE
72_Sotomayor_Ratner_VAvGolden,1768.44,1771.52,3.08,,,,,,,30,33,0,61,Sotomayor,f,j,Ratner,m,a,15," One could speculate that, and I'm trying to get back to that. Justice Alito spoke about the cost of changing maps. ",FALSE
222_Jurss_Roberts_MitchellvWisconsin,3367.08,3370.16,3.08,,,,,,,48,6,64,42,Jurss,f,a,Roberts,m,j,56, True enough. ,FALSE
178_Sotomayor_Jurss_MitchellvWisconsin,2538.76,2541.84,3.08,,,,,,,93,55,50,59,Sotomayor,f,j,Jurss,f,a,71.5, It seems to me that -- why did the officer wait to take him to the precinct? Meaning he didn't black out for an hour. ,FALSE
105_Kagan_Heytens_VAvGolden,2328.04,2331.12,3.08,,,,,,,,,,,,,,,,,, -- isn't one of -- isn't one of the points here is that it's a matter of state law really. ,FALSE
15_Clement_Sotomayor_VAvGolden,288.72,291.84,3.12,,,,,,,0,5,0,72,Clement,f,a,Sotomayor,f,j,0, I -- I think that's true. ,FALSE
236_Breyer_Hinkel_MitchellvWisconsin,3620.28,3623.4,3.12,,,,,,,66,5,94,57,Breyer,m,j,Hinkel,m,a,80," So -- I mean, in Birchfield, you say I'm going to take your license away unless you're going to agree. ",FALSE
22_Sotomayor_Purcell_WAvCoug,197.28,200.4,3.12,,,,,,,,,,,,,,,,,, So I'm not quite sure what permits you to tax them at all. ,FALSE
29_Hinkel_Breyer_MitchellvWisconsin,725.12,728.24,3.12,,,,,,,,,,,,,,,,,, Uh-huh. ,FALSE
107_Breyer_Adams_WAvCoug,1093.48,1096.64,3.16,,,,,,,59,37,22,63,Breyer,m,j,Adams,f,a,40.5," No,
no,
everyone has to pay the thousand. ",FALSE
118_Adams_Breyer_WAvCoug,1184,1187.2,3.2,,,,,,,0,59,0,72,Adams,f,a,Breyer,m,j,0, So I think there's a couple of distinctions that we need to -- to draw between what you're hypothesizing and what is happening here. ,FALSE
140_Adams_Gorsuch_WAvCoug,1396.96,1400.16,3.2,,,,,,,21,26,19,55,Adams,f,a,Gorsuch,m,j,20, No. ,FALSE
106_Sotomayor_Hinkel_MitchellvWisconsin,1364.96,1368.16,3.2,,,,,,,75,6,100,39,Sotomayor,f,j,Hinkel,m,a,87.5," Intrusive as searching someone's home is, invading someone's body is a different level of intrusion. ",FALSE
24_Breyer_Hinkel_MitchellvWisconsin,690.44,693.64,3.2,,,,,,,100,18,94,57,Breyer,m,j,Hinkel,m,a,97," If somebody's there lying down, he's unconscious, smells a little of alcohol perhaps, wouldn't the policeman take him to the hospital? Wouldn't that be the first thing that -- that he'd think of? ",FALSE
15_Schrup_Alito_KahlervKansas,411.68,414.88,3.2,1,,,,,inaudible second speaker,,,,,,,,,,,," Justice Alito, it's not about a belief. ",FALSE
75_Schrup_Kavanaugh_KahlervKansas,1491.96,1495.16,3.2,,,,,,,,,,,,,,,,,," If they have the right-and-wrong principle, they are. ",FALSE
260_Unikowsky_Breyer_WAvCoug,2521.88,2525.12,3.24,,,,,,,23,26,21,71,Unikowsky,m,a,Breyer,m,j,22," Yeah,
that -- if that's the hypothetical, then that wouldn't be transportation. ",FALSE
1_Purcell_Sotomayor_WAvCoug,36.44,39.68,3.24,1,,,,,inaudible second speaker,,,,,,,,,,,," Mr. Chief Justice, and may it please the Court: Washington's fuel tax taxes fuel,
not highway travel. ",FALSE
96_Roberts_Roberts_WAvCoug,993.32,996.56,3.24,1,,,,,Audience laughing,,,,,,,,,,,," Thank you, counsel. ",FALSE
184_Kavanaugh_Jurss_MitchellvWisconsin,2649.04,2652.32,3.28,,,,,,,22,2,81,63,Kavanaugh,m,j,Jurss,f,a,51.5, And maybe you just said that delaying medical care while you're getting a warrant -- is that what you're saying? ,FALSE
85_Purcell_Gorsuch_WAvCoug,925.2,928.48,3.28,,,,,,,38,22,0,33,Purcell,m,a,Gorsuch,m,j,19," Fair enough,
Your Honor,
but in Tulee,
this Court said it was sort of deviating from the normal meaning. ",FALSE
113_Alito_Heytens_VAvGolden,2391.28,2394.56,3.28,,,,,,,70,41,70,40,Alito,m,j,Heytens,f,a,70, Suppose there -- there was an affidavit by some administrative officer of the House that said this is going to cost us $26 in administrative expenses. ,FALSE
218_Schrup_Alito_KahlervKansas,3606.44,3609.72,3.28,1,,,,,inaudible second speaker,,,,,,,,,,,, -- intent to harm. ,FALSE
61_Hinkel_Breyer_MitchellvWisconsin,887.64,890.96,3.32,,,,,,,33,3,0,18,Hinkel,m,a,Breyer,m,j,16.5, I agree. ,FALSE
160_Jurss_Alito_MitchellvWisconsin,2329.12,2332.48,3.36,,,,,,,41,50,30,61,Jurss,f,a,Alito,m,j,35.5," Well, I would say that a majority of our court has recognized that a blood draw from an unconscious person is a reasonable search. ",FALSE
184_Unikowsky_Alito_WAvCoug,1899.28,1902.68,3.4,,,,,,,30,60,69,67,Unikowsky,m,a,Alito,m,j,49.5," So we would still say that's preempted, although our legal analysis might differ a little bit. ",FALSE
79_Ratner_Sotomayor_VAvGolden,1858.04,1861.48,3.44,,1,,1859.04,,Remove first turn change,13,1,1,58,Ratner,m,a,Sotomayor,f,j,7, I understand that. ,FALSE
156_Kavanaugh_Elias_VAvGolden,3260.08,3263.56,3.48,,,,,,,35,26,0,56,Kavanaugh,m,j,Elias,f,a,17.5, A good reason is complying with the Voting Rights Act to ensure that African American voters have the opportunity to -- to elect the candidate of their choice. ,FALSE
158_Alito_Crouse_KahlervKansas,2605.48,2608.96,3.48,,,,,,,57,4,64,62,Alito,m,j,Crouse,m,a,60.5," Some of them handled it through mens rea, did they not? ",FALSE
52_Breyer_Hinkel_MitchellvWisconsin,856.08,859.56,3.48,,,,,,,75,16,74,50,Breyer,m,j,Hinkel,m,a,74.5," Some reason? Okay. Now, so I add there's a whiskey bottle. ",FALSE
274_Unikowsky_Alito_WAvCoug,2717.32,2720.88,3.56,,,,,,,32,57,0,73,Unikowsky,m,a,Alito,m,j,16," Even so,
I don't think so. ",FALSE
32_Clement_Breyer_VAvGolden,740.32,743.88,3.56,,,,,,,41,50,36,60,Clement,f,a,Breyer,m,j,38.5," Well, I -- I -- I think that's right, Mr. Chief Justice, and I'd say a couple of things. First of all, I think, in reviewing this case, I don't think you have to ignore the fact that there were contrary findings in the first go-around. I also think that, in a way, you can sidestep the elephant in the room if you find a legal error in the way that the district court committed its or conducted its credibility findings. And, here, I think you do have that with the double standard that they applied in terms of, well, if you testified for the second time on behalf of the plan, you are not credible because you should have been here the first time, but if you testified for the first time in the second trial against the plan, then it's perfectly excusable and we'll use your testimony. ",FALSE
168_Sotomayor_Clement_VAvGolden,3534.64,3538.24,3.6,,,,,,,58,21,34,38,Sotomayor,f,j,Clement,f,a,46," Mr. Clement, what -- Mr. Clement, what do we do now? If we rule in your favor and say that every House that has -- creates a plan has standing, we invite complete discord in a state over who represents the interests of that law. ",FALSE
4_Roberts_Schrup_KahlervKansas,227.48,231.08,3.6,,,,,,,81,8,92,8,Roberts,m,j,Schrup,f,a,86.5," But I -- I would have thought you would want collateral consequences imposed, as I understood your submission, because the idea is that someone acquitted by reason of insanity would not go free but would instead be committed to mental care. ",FALSE
25_Purcell_Sotomayor_WAvCoug,212.72,216.36,3.64,,,,,,,23,27,79,56,Purcell,m,a,Sotomayor,f,j,51," There's two crucial points about that,
Your Honor. ",FALSE
49_Purcell_Sotomayor_WAvCoug,488.64,492.28,3.64,,,,,,,32,59,50,67,Purcell,m,a,Sotomayor,f,j,41," Well,
and the Court has never said that the state can generally regulate a fishing right in the public interest. ",FALSE
57_Hinkel_Breyer_MitchellvWisconsin,872.92,876.56,3.64,,,,,,,38,26,26,64,Hinkel,m,a,Breyer,m,j,32," And if, again, you believe that there's probable cause, you're supposed to call up the magistrate and say, I have probable cause to believe this person is intoxicated. ",FALSE
137_Elias_Kavanaugh_VAvGolden,2852.36,2856,3.64,,,,,,,39,7,30,26,Elias,f,a,Kavanaugh,m,j,34.5, We agree that there were 12 majority-minority districts under the benchmark plan and under Section 5. ,FALSE
173_Roberts_Unikowsky_WAvCoug,1729.36,1733.04,3.68,,,,,,,52,21,35,20,Roberts,m,j,Unikowsky,m,a,43.5, -- not the transporter? ,FALSE
44_Breyer_Hinkel_MitchellvWisconsin,817.88,821.56,3.68,,,,,,,100,38,15,75,Breyer,m,j,Hinkel,m,a,57.5," No, of course. ",FALSE
22_Clement_Kagan_VAvGolden,477.8,481.52,3.72,,,,,,,4,13,0,32,Clement,f,a,Kagan,f,j,2, That -- that's true. ,FALSE
229_Breyer_Unikowsky_WAvCoug,2176.08,2179.8,3.72,,,,,,,88,44,29,63,Breyer,m,j,Unikowsky,m,a,58.5, You say that is legal or illegal? ,FALSE
198_Breyer_Unikowsky_WAvCoug,2075.76,2079.48,3.72,,,,,,,100,18,70,56,Breyer,m,j,Unikowsky,m,a,85, So especially for gas? ,FALSE
206_Breyer_Unikowsky_WAvCoug,2118.56,2122.32,3.76,,,,,,,30,14,0,35,Breyer,m,j,Unikowsky,m,a,15, What do you mean the transportation? Does it say it taxes the transportation? ,FALSE
149_Ginsburg_Jurss_MitchellvWisconsin,2092.88,2096.64,3.76,,,,,,,61,25,95,60,Ginsburg,f,j,Jurss,f,a,78," But it's a fiction, isn't it? It's not consent, no matter how much you call it implied or presumed. ",FALSE
43_Hinkel_Breyer_MitchellvWisconsin,816.32,820.12,3.8,,,,,,,55,3,43,75,Hinkel,m,a,Breyer,m,j,49, It's not our position that you shouldn't. ,FALSE
159_Elias_Kavanaugh_VAvGolden,3311.24,3315.04,3.8,,,,,,,63,3,13,21,Elias,f,a,Kavanaugh,m,j,38," Well, first of all, there is nothing in the record that suggests that they drew this plan to comply with Section 2 of the Voting Rights Act. ",FALSE
126_Adams_Breyer_WAvCoug,1203.32,1207.16,3.84,1,,,,,duplicate of next turn,,,,,,,,,,,, -- a number to give you. ,FALSE
80_Alito_Schrup_KahlervKansas,1510.76,1514.64,3.88,,,,,,,,,,,,,,,,,, Justice Marshall's -- Justice Marshall's statement in Powell was not limited in the way that you suggest. ,FALSE
211_Unikowsky_Breyer_WAvCoug,2130.44,2134.36,3.92,,,,,,,0,59,8,60,Unikowsky,m,a,Breyer,m,j,4," Your Honor, I'll tell you the words of the statute and then what the state court said. ",FALSE
193_Breyer_Unikowsky_WAvCoug,2054.92,2058.84,3.92,,,,,,,39,20,29,71,Breyer,m,j,Unikowsky,m,a,34, Okay. ,FALSE
100_Breyer_Heytens_VAvGolden,2310.36,2314.28,3.92,,,,,,,43,34,0,52,Breyer,m,j,Heytens,f,a,21.5," Whether it's an allegation, not an allegation, or not. ",FALSE
234_Hinkel_Kavanaugh_MitchellvWisconsin,3585.04,3588.96,3.92,,,,,,,82,27,65,38,Hinkel,m,a,Kavanaugh,m,j,73.5," Well, the reasonableness of the search hasn't ever depended on whether or not someone was around to see it. ",FALSE
40_Breyer_Hinkel_MitchellvWisconsin,811.88,815.84,3.96,,,,,,,31,3,100,32,Breyer,m,j,Hinkel,m,a,65.5, -- what am I supposed to do when I get to a car and there's someone there lying unconscious? Other people may or may not be hurt. I have to say that very often in my experience this is a result of drunk driving. I look around. ,FALSE
168_Breyer_Roberts_KahlervKansas,2736.76,2740.72,3.96,1,,,,,unclear audio,,,,,,,,,,,, But it wasn't phrased at that. ,FALSE
170_Breyer_Roberts_KahlervKansas,2740.72,2744.72,4,1,,,,,unclear audio,,,,,,,,,,,, I'm not sure I want to. (Laughter.) ,FALSE
94_Roberts_Hinkel_MitchellvWisconsin,1255.72,1259.72,4,1,,,,,no turn change,,,,,,,,,,,, Right. ,FALSE
47_Purcell_Sotomayor_WAvCoug,478.64,482.68,4.04,,,,,,,50,23,50,60,Purcell,m,a,Sotomayor,f,j,50," Your Honor, in Tulee, this Court said that the -- the state could not tax the very right at issue, the right to fish. But, here, that is not at all what's happening. ",FALSE
170_Unikowsky_Roberts_WAvCoug,1724.2,1728.24,4.04,1,,,,,inaudible second speaker,,,,,,,,,,,, No. ,FALSE
183_Jurss_Kavanaugh_MitchellvWisconsin,2643.56,2647.6,4.04,1,,,,,inaudible first spaker,,,,,,,,,,,, Uh-huh. ,FALSE
56_Gorsuch_Purcell_WAvCoug,545.64,549.68,4.04,1,,,,,inaudible first spaker,,,,,,,,,,,, Right. ,FALSE
180_Unikowsky_Roberts_WAvCoug,1820.96,1825.04,4.08,,,,,,,14,34,20,76,Unikowsky,m,a,Roberts,m,j,17, No. ,FALSE
88_Gorsuch_Purcell_WAvCoug,936.12,940.2,4.08,,,,,,,17,36,33,61,Gorsuch,m,j,Purcell,m,a,25," But having adopted one reading of it,
why wouldn't we be consistent? ",FALSE
54_Gorsuch_Purcell_WAvCoug,541.52,545.64,4.12,,,,,,,69,6,74,14,Gorsuch,m,j,Purcell,m,a,71.5," -- safety regulations,
speed limits,
would facilitate travel in common. ",FALSE
134_Gorsuch_Sotomayor_KahlervKansas,2415,2419.12,4.12,,,,,,,96,10,94,30,Gorsuch,m,j,Sotomayor,f,j,95, No. ,FALSE
154_Kavanaugh_Elias_VAvGolden,3244.76,3248.88,4.12,1,,,,,no turn change,,,,,,,,,,,, Yeah. ,FALSE
33_Purcell_Kagan_WAvCoug,249.16,253.28,4.12,1,,,,,inaudible first spaker,,,,,,,,,,,, Sure. ,FALSE
66_Breyer_Hinkel_MitchellvWisconsin,906.52,910.64,4.12,1,,,,,inaudible first spaker,,,,,,,,,,,, Okay. ,FALSE
187_Jurss_Kavanaugh_MitchellvWisconsin,2656.12,2660.28,4.16,,,,,,,29,41,29,40,Jurss,f,a,Kavanaugh,m,j,29, Sure. ,FALSE
72_Sotomayor_Hinkel_MitchellvWisconsin,977.04,981.2,4.16,,,,,,,32,57,13,76,Sotomayor,f,j,Hinkel,m,a,22.5, But it doesn't mean necessarily that the courts are precluded from subpoenaing that information? ,FALSE
177_Kavanaugh_Sotomayor_MitchellvWisconsin,2512.36,2516.52,4.16,,,,,,,50,35,70,40,Kavanaugh,m,j,Sotomayor,f,j,60, Go ahead. ,FALSE
16_Sotomayor_Purcell_WAvCoug,135.36,139.52,4.16,,,,,,,100,60,18,66,Sotomayor,f,j,Purcell,m,a,59," What is the -- the license? Is it a way to get them not to pay? Who pays for the fuel then once you're licensed? You're a wholesaler,
you bring it in,
I'm assuming by vessel or by pipeline. ",FALSE
219_Alito_Schrup_KahlervKansas,3607.08,3611.24,4.16,,,,,,,100,53,96,70,Alito,m,j,Schrup,f,a,98, -- apply across the board. ,FALSE
146_Alito_Crouse_KahlervKansas,2489.16,2493.32,4.16,,,,,,,,,,,,,,,,,, You seem very reticent about answering these questions. ,FALSE
32_Breyer_Hinkel_MitchellvWisconsin,737.36,741.56,4.2,,,,,,,25,37,67,52,Breyer,m,j,Hinkel,m,a,46," No, isn't that always going to be true, I mean, or almost always? He's lying here unconscious. ",FALSE
199_Jurss_Sotomayor_MitchellvWisconsin,2885.08,2889.28,4.2,,,,,,,80,39,88,54,Jurss,f,a,Sotomayor,f,j,84, Okay. ,FALSE
120_Hinkel_Roberts_MitchellvWisconsin,1561.52,1565.72,4.2,1,,,,,no turn change,,,,,,,,,,,, I reserve the balance of my time. ,FALSE
203_Sotomayor_Prelogar_KahlervKansas,3356.76,3360.96,4.2,,,,,,,,,,,,,,,,,," -- consistent with Apprendi, assuming we find that since the beginning of modern thought that there is an irreducible minimum of due process that requires the insane to be not convicted by a judge or put in a mental institution by a judge but by a jury? ",FALSE
282_Unikowsky_Kagan_WAvCoug,2776.8,2781,4.2,1,,,,,inaudible first spaker,,,,,,,,,,,, Yes. ,FALSE
56_Breyer_Hinkel_MitchellvWisconsin,867.6,871.8,4.2,1,,,,,inaudible first spaker,,,,,,,,,,,, Yeah. ,FALSE
